datetime,locationID,car_type
2017-01-01 01:30:53,74,taxi
2017-01-01 01:30:54,74,taxi
2017-01-01 01:30:56,248,taxi
2017-01-01 01:30:58,42,taxi
2017-01-01 01:30:59,223,taxi
2017-01-01 01:30:59,41,taxi
2017-01-01 01:30:59,80,taxi
2017-01-01 01:30:59,41,taxi
2017-01-01 01:31:00,80,taxi
2017-01-01 01:31:02,7,taxi
2017-01-01 01:31:03,256,taxi
2017-01-01 01:31:03,226,taxi
2017-01-01 01:31:03,179,taxi
2017-01-01 01:31:07,168,taxi
2017-01-01 01:31:10,226,taxi
2017-01-01 01:31:10,228,taxi
2017-01-01 01:31:10,256,taxi
2017-01-01 01:31:10,228,taxi
2017-01-01 01:31:10,82,taxi
2017-01-01 01:31:12,225,taxi
2017-01-01 01:31:17,7,taxi
2017-01-01 01:31:18,127,taxi
2017-01-01 01:31:18,74,taxi
2017-01-01 01:31:18,255,taxi
2017-01-01 01:31:22,65,taxi
2017-01-01 01:31:22,179,taxi
2017-01-01 01:31:24,147,taxi
2017-01-01 01:31:24,82,taxi
2017-01-01 01:31:26,129,taxi
2017-01-01 01:31:27,226,taxi
2017-01-01 01:31:27,181,taxi
2017-01-01 01:31:30,181,taxi
2017-01-01 01:31:32,166,taxi
2017-01-01 01:31:32,75,taxi
2017-01-01 01:31:32,152,taxi
2017-01-01 01:31:33,42,taxi
2017-01-01 01:31:34,198,taxi
2017-01-01 01:31:34,255,taxi
2017-01-01 01:31:38,225,taxi
2017-01-01 01:31:38,112,taxi
2017-01-01 01:31:38,25,taxi
2017-01-01 01:31:39,198,taxi
2017-01-01 01:31:39,244,taxi
2017-01-01 01:31:40,256,taxi
2017-01-01 01:31:40,129,taxi
2017-01-01 01:31:41,244,taxi
2017-01-01 01:31:42,78,taxi
2017-01-01 01:31:42,129,taxi
2017-01-01 01:31:42,65,taxi
2017-01-01 01:31:44,152,taxi
2017-01-01 01:31:45,7,taxi
2017-01-01 01:31:46,82,taxi
2017-01-01 01:31:46,192,taxi
2017-01-01 01:31:46,119,taxi
2017-01-01 01:31:49,56,taxi
2017-01-01 01:31:49,260,taxi
2017-01-01 01:31:49,42,taxi
2017-01-01 01:31:49,75,taxi
2017-01-01 01:31:50,129,taxi
2017-01-01 01:31:51,112,taxi
2017-01-01 01:31:53,75,taxi
2017-01-01 01:31:53,189,taxi
2017-01-01 01:31:53,166,taxi
2017-01-01 01:31:56,17,taxi
2017-01-01 01:31:56,116,taxi
2017-01-01 01:31:57,226,taxi
2017-01-01 01:31:57,25,taxi
2017-01-01 01:31:57,256,taxi
2017-01-01 01:31:57,95,taxi
2017-01-01 01:31:58,7,taxi
2017-01-01 01:32:00,145,taxi
2017-01-01 01:32:01,74,taxi
2017-01-01 01:32:04,223,taxi
2017-01-01 01:32:05,256,taxi
2017-01-01 01:32:06,225,taxi
2017-01-01 01:32:06,196,taxi
2017-01-01 01:32:08,134,taxi
2017-01-01 01:32:08,174,taxi
2017-01-01 01:32:09,37,taxi
2017-01-01 01:32:10,7,taxi
2017-01-01 01:32:10,260,taxi
2017-01-01 01:32:10,225,taxi
2017-01-01 01:32:13,25,taxi
2017-01-01 01:32:14,129,taxi
2017-01-01 01:32:15,56,taxi
2017-01-01 01:32:20,260,taxi
2017-01-01 01:32:21,7,taxi
2017-01-01 01:32:21,62,taxi
2017-01-01 01:32:22,37,taxi
2017-01-01 01:32:23,49,taxi
2017-01-01 01:32:23,49,taxi
2017-01-01 01:32:24,244,taxi
2017-01-01 01:32:26,42,taxi
2017-01-01 01:32:26,256,taxi
2017-01-01 01:32:27,61,taxi
2017-01-01 01:32:28,36,taxi
2017-01-01 01:32:30,95,taxi
2017-01-01 01:32:31,95,taxi
2017-01-01 01:32:32,74,taxi
2017-01-01 01:32:33,92,taxi
2017-01-01 01:32:34,228,taxi
2017-01-01 01:32:34,74,taxi
2017-01-01 01:32:37,212,taxi
2017-01-01 01:32:38,228,taxi
2017-01-01 01:32:39,82,taxi
2017-01-01 01:32:39,17,taxi
2017-01-01 01:32:42,83,taxi
2017-01-01 01:32:43,106,taxi
2017-01-01 01:32:44,256,taxi
2017-01-01 01:32:45,75,taxi
2017-01-01 01:32:46,129,taxi
2017-01-01 01:32:47,127,taxi
2017-01-01 01:32:48,129,taxi
2017-01-01 01:32:50,130,taxi
2017-01-01 01:32:51,61,taxi
2017-01-01 01:32:51,145,taxi
2017-01-01 01:32:52,42,taxi
2017-01-01 01:32:52,75,taxi
2017-01-01 01:32:53,82,taxi
2017-01-01 01:32:55,82,taxi
2017-01-01 01:32:55,166,taxi
2017-01-01 01:32:55,82,taxi
2017-01-01 01:32:55,223,taxi
2017-01-01 01:32:56,129,taxi
2017-01-01 01:32:57,69,taxi
2017-01-01 01:32:58,75,taxi
2017-01-01 01:32:59,181,taxi
2017-01-01 01:33:00,116,taxi
2017-01-01 01:33:00,55,taxi
2017-01-01 01:33:03,74,taxi
2017-01-01 01:33:04,181,taxi
2017-01-01 01:33:04,173,taxi
2017-01-01 01:33:05,260,taxi
2017-01-01 01:33:05,41,taxi
2017-01-01 01:33:06,95,taxi
2017-01-01 01:33:09,256,taxi
2017-01-01 01:33:10,116,taxi
2017-01-01 01:33:12,65,taxi
2017-01-01 01:33:12,256,taxi
2017-01-01 01:33:13,264,taxi
2017-01-01 01:33:14,82,taxi
2017-01-01 01:33:14,116,taxi
2017-01-01 01:33:18,41,taxi
2017-01-01 01:33:19,129,taxi
2017-01-01 01:33:19,256,taxi
2017-01-01 01:33:20,188,taxi
2017-01-01 01:33:20,82,taxi
2017-01-01 01:33:20,129,taxi
2017-01-01 01:33:21,33,taxi
2017-01-01 01:33:21,7,taxi
2017-01-01 01:33:22,41,taxi
2017-01-01 01:33:24,129,taxi
2017-01-01 01:33:27,17,taxi
2017-01-01 01:33:27,256,taxi
2017-01-01 01:33:28,226,taxi
2017-01-01 01:33:33,256,taxi
2017-01-01 01:33:37,41,taxi
2017-01-01 01:33:38,260,taxi
2017-01-01 01:33:39,7,taxi
2017-01-01 01:33:40,7,taxi
2017-01-01 01:33:41,129,taxi
2017-01-01 01:33:42,7,taxi
2017-01-01 01:33:43,247,taxi
2017-01-01 01:33:43,174,taxi
2017-01-01 01:33:44,95,taxi
2017-01-01 01:33:46,223,taxi
2017-01-01 01:33:46,49,taxi
2017-01-01 01:33:46,255,taxi
2017-01-01 01:33:46,37,taxi
2017-01-01 01:33:48,159,taxi
2017-01-01 01:33:48,145,taxi
2017-01-01 01:33:48,14,taxi
2017-01-01 01:33:49,181,taxi
2017-01-01 01:33:50,80,taxi
2017-01-01 01:33:51,42,taxi
2017-01-01 01:33:51,159,taxi
2017-01-01 01:33:52,260,taxi
2017-01-01 01:33:53,179,taxi
2017-01-01 01:33:53,226,taxi
2017-01-01 01:33:55,7,taxi
2017-01-01 01:33:55,181,taxi
2017-01-01 01:33:57,244,taxi
2017-01-01 01:33:57,129,taxi
2017-01-01 01:33:59,17,taxi
2017-01-01 01:33:59,181,taxi
2017-01-01 01:34:00,56,taxi
2017-01-01 01:34:01,33,taxi
2017-01-01 01:34:02,65,taxi
2017-01-01 01:34:09,116,taxi
2017-01-01 01:34:11,226,taxi
2017-01-01 01:34:12,78,taxi
2017-01-01 01:34:15,97,taxi
2017-01-01 01:34:16,189,taxi
2017-01-01 01:34:17,41,taxi
2017-01-01 01:34:18,25,taxi
2017-01-01 01:34:19,25,taxi
2017-01-01 01:34:19,242,taxi
2017-01-01 01:34:21,179,taxi
2017-01-01 01:34:23,146,taxi
2017-01-01 01:34:25,256,taxi
2017-01-01 01:34:28,78,taxi
2017-01-01 01:34:28,260,taxi
2017-01-01 01:34:28,179,taxi
2017-01-01 01:34:28,129,taxi
2017-01-01 01:34:29,41,taxi
2017-01-01 01:34:29,7,taxi
2017-01-01 01:34:30,189,taxi
2017-01-01 01:34:31,25,taxi
2017-01-01 01:34:32,226,taxi
2017-01-01 01:34:33,82,taxi
2017-01-01 01:34:36,74,taxi
2017-01-01 01:34:39,166,taxi
2017-01-01 01:34:41,25,taxi
2017-01-01 01:34:42,33,taxi
2017-01-01 01:34:42,40,taxi
2017-01-01 01:34:43,244,taxi
2017-01-01 01:34:44,61,taxi
2017-01-01 01:34:44,37,taxi
2017-01-01 01:34:47,49,taxi
2017-01-01 01:34:47,42,taxi
2017-01-01 01:34:48,25,taxi
2017-01-01 01:34:48,223,taxi
2017-01-01 01:34:49,17,taxi
2017-01-01 01:34:49,7,taxi
2017-01-01 01:34:49,129,taxi
2017-01-01 01:34:50,74,taxi
2017-01-01 01:34:52,49,taxi
2017-01-01 01:34:53,36,taxi
2017-01-01 01:34:54,36,taxi
2017-01-01 01:34:54,97,taxi
2017-01-01 01:34:56,47,taxi
2017-01-01 01:34:56,33,taxi
2017-01-01 01:34:56,146,taxi
2017-01-01 01:34:57,61,taxi
2017-01-01 01:34:57,145,taxi
2017-01-01 01:34:57,95,taxi
2017-01-01 01:34:58,129,taxi
2017-01-01 01:35:00,226,taxi
2017-01-01 01:35:04,129,taxi
2017-01-01 01:35:04,25,taxi
2017-01-01 01:35:06,127,taxi
2017-01-01 01:35:06,179,taxi
2017-01-01 01:35:06,116,taxi
2017-01-01 01:35:10,112,taxi
2017-01-01 01:35:11,82,taxi
2017-01-01 01:35:12,226,taxi
2017-01-01 01:35:13,75,taxi
2017-01-01 01:35:17,181,taxi
2017-01-01 01:35:17,18,taxi
2017-01-01 01:35:17,244,taxi
2017-01-01 01:35:19,7,taxi
2017-01-01 01:35:20,167,taxi
2017-01-01 01:35:20,130,taxi
2017-01-01 01:35:21,152,taxi
2017-01-01 01:35:23,61,taxi
2017-01-01 01:35:24,260,taxi
2017-01-01 01:35:25,116,taxi
2017-01-01 01:35:25,106,taxi
2017-01-01 01:35:27,80,taxi
2017-01-01 01:35:29,95,taxi
2017-01-01 01:35:29,223,taxi
2017-01-01 01:35:30,80,taxi
2017-01-01 01:35:32,112,taxi
2017-01-01 01:35:32,82,taxi
2017-01-01 01:35:32,41,taxi
2017-01-01 01:35:33,61,taxi
2017-01-01 01:35:33,260,taxi
2017-01-01 01:35:34,65,taxi
2017-01-01 01:35:34,223,taxi
2017-01-01 01:35:36,36,taxi
2017-01-01 01:35:36,145,taxi
2017-01-01 01:35:36,7,taxi
2017-01-01 01:35:36,36,taxi
2017-01-01 01:35:37,260,taxi
2017-01-01 01:35:37,129,taxi
2017-01-01 01:35:38,226,taxi
2017-01-01 01:35:38,181,taxi
2017-01-01 01:35:40,18,taxi
2017-01-01 01:35:41,228,taxi
2017-01-01 01:35:41,61,taxi
2017-01-01 01:35:42,49,taxi
2017-01-01 01:35:42,146,taxi
2017-01-01 01:35:42,225,taxi
2017-01-01 01:35:43,92,taxi
2017-01-01 01:35:45,37,taxi
2017-01-01 01:35:46,226,taxi
2017-01-01 01:35:46,181,taxi
2017-01-01 01:35:46,89,taxi
2017-01-01 01:35:48,166,taxi
2017-01-01 01:35:48,7,taxi
2017-01-01 01:35:49,15,taxi
2017-01-01 01:35:49,223,taxi
2017-01-01 01:35:53,82,taxi
2017-01-01 01:35:55,17,taxi
2017-01-01 01:35:56,256,taxi
2017-01-01 01:35:57,65,taxi
2017-01-01 01:35:59,74,taxi
2017-01-01 01:36:02,54,taxi
2017-01-01 01:36:02,7,taxi
2017-01-01 01:36:03,126,taxi
2017-01-01 01:36:03,112,taxi
2017-01-01 01:36:05,152,taxi
2017-01-01 01:36:05,75,taxi
2017-01-01 01:36:07,134,taxi
2017-01-01 01:36:09,33,taxi
2017-01-01 01:36:10,40,taxi
2017-01-01 01:36:10,37,taxi
2017-01-01 01:36:11,146,taxi
2017-01-01 01:36:11,112,taxi
2017-01-01 01:36:12,82,taxi
2017-01-01 01:36:14,74,taxi
2017-01-01 01:36:15,61,taxi
2017-01-01 01:36:15,255,taxi
2017-01-01 01:36:15,244,taxi
2017-01-01 01:36:15,61,taxi
2017-01-01 01:36:16,74,taxi
2017-01-01 01:36:17,112,taxi
2017-01-01 01:36:17,65,taxi
2017-01-01 01:36:17,82,taxi
2017-01-01 01:36:19,129,taxi
2017-01-01 01:36:19,75,taxi
2017-01-01 01:36:21,41,taxi
2017-01-01 01:36:21,256,taxi
2017-01-01 01:36:22,146,taxi
2017-01-01 01:36:23,41,taxi
2017-01-01 01:36:24,61,taxi
2017-01-01 01:36:24,82,taxi
2017-01-01 01:36:25,17,taxi
2017-01-01 01:36:26,35,taxi
2017-01-01 01:36:27,33,taxi
2017-01-01 01:36:27,49,taxi
2017-01-01 01:36:27,25,taxi
2017-01-01 01:36:27,129,taxi
2017-01-01 01:36:29,129,taxi
2017-01-01 01:36:31,7,taxi
2017-01-01 01:36:32,95,taxi
2017-01-01 01:36:33,80,taxi
2017-01-01 01:36:35,256,taxi
2017-01-01 01:36:36,168,taxi
